============ Dead Class ===========
 Total Dead class: 724
Class CharArrayFormatterTests has 0 reference.
Class JsonObjectSerializerTests has 0 reference.
Class HttpWebServiceMessageSenderBuilderSimpleIntegrationTests has 0 reference.
Class DispatcherTypesFilter has 0 reference.
Class DefaultBootstrapContextTests has 0 reference.
Class ConfigurationPropertiesTests has 0 reference.
Class LowestTestResolver has 0 reference.
Class WebServletHandlerTests has 0 reference.
Class EmbeddedWebContextLoader has 0 reference.
Class ApplicationContextServerWebExchangeMatcher has 0 reference.
Class ConstructorParameterWithUnitConfiguration has 0 reference.
Class RSocketServerException has 0 reference.
Class Values has 0 reference.
Class HikariDataSourcePoolMetadataTests has 0 reference.
Class BScanConfiguration has 0 reference.
Class CombinedScanConfiguration has 0 reference.
Class DefaultValuesConfigurationPropertiesBindHandlerAdvisor has 0 reference.
Class ConfigDataEnvironmentContributorPlaceholdersResolverTests has 0 reference.
Class Log4j2FileXmlTests has 0 reference.
Class MyProfileProperties has 0 reference.
Class WithPublicStringConstructorPropertiesConfiguration has 0 reference.
Class LiquibaseChangelogMissingFailureAnalyzerTests has 0 reference.
Class GenericConfiguration has 0 reference.
Class ComponentWithInnerAbstractClass has 0 reference.
Class SslConnectorCustomizerTests has 0 reference.
Class LogbackConfigurationTests has 0 reference.
Class OnlyDeserializer has 0 reference.
Class ServletContextAwareEmbeddedConfiguration has 0 reference.
Class ConfigDataLocationNotFoundExceptionTests has 0 reference.
Class NumberToPeriodConverterTests has 0 reference.
Class NoBeanMethodProxyingSpringBootConfiguration has 0 reference.
Class FieldValidationFailureConfiguration has 0 reference.
Class AnnotatedBeanConfiguration has 0 reference.
Class ConfigurationWarningsApplicationContextInitializerTests has 0 reference.
Class SpringConfigurationPropertySourcesTests has 0 reference.
Class TextResourceOriginTests has 0 reference.
Class IgnoringXmlBeanDefinitionLoaderTests has 0 reference.
Class ProfilesTests has 0 reference.
Class ConstructorBindingOnType has 0 reference.
Class TestBootstrapRegistryEnvironmentPostProcessor has 0 reference.
Class SimpleFormatter has 0 reference.
Class FilterConfiguration has 0 reference.
Class PatternParseFailureAnalyzerTests has 0 reference.
Class ObjectValidationFailureConfiguration has 0 reference.
Class SyntheticConstructorPropertiesConfiguration has 0 reference.
Class WhitespaceThrowablePatternConverterTests has 0 reference.
Class ConfigDataPropertiesTests has 0 reference.
Class ValidatedBeanConfiguration has 0 reference.
Class SpringConfigurationPropertySourceTests has 0 reference.
Class JsonComponentModuleTests has 0 reference.
Class ObjectProviderConstructorConsumer has 0 reference.
Class ServletComponentWebListenerRegistrar has 0 reference.
Class EventPublishingRunListenerTests has 0 reference.
Class TelephoneNumber has 0 reference.
Class InDefaultPackageWithValueConfiguration has 0 reference.
Class AnnotationConfigReactiveWebApplicationContext has 0 reference.
Class GenericConverterConfiguration has 0 reference.
Class Callbacks has 0 reference.
Class AbstractDataSourcePoolMetadata has 0 reference.
Class InvalidConfiguration has 0 reference.
Class ConcurrentModificationThrowingMap has 0 reference.
Class BSecondProperties has 0 reference.
Class NoSnakeYamlPropertySourceLoaderTests has 0 reference.
Class NonAnnotatedComponent has 0 reference.
Class MockWebServerFactoryCustomizer has 0 reference.
Class SecondConfiguration has 0 reference.
Class TomcatConfig has 0 reference.
Class StringToPeriodConverterTests has 0 reference.
Class WithoutConfigurationPropertiesBindHandlerAdvisor has 0 reference.
Class AsyncSupportedServlet has 0 reference.
Class XmlConsumer has 0 reference.
Class LogbackAndLog4J2ExcludedLoggingSystemTests has 0 reference.
Class ConstructorParameterValidatedProperties has 0 reference.
Class SslConfigurationValidator has 0 reference.
Class FilteredPropertySourceTests has 0 reference.
Class ExampleValidatedWithNestedBean has 0 reference.
Class ConfigurationPropertySourcesPropertySourceTests has 0 reference.
Class CustomConverterServiceConfiguration has 0 reference.
Class AProperties has 0 reference.
Class Log4J2LoggingSystemTests has 0 reference.
Class UrlPatternsDeclaredTwiceFilter has 0 reference.
Class BasePackages has 0 reference.
Class JdkProxyConfiguration has 0 reference.
Class DefaultValueObject has 0 reference.
Class DatabaseDriverTests has 0 reference.
Class AtomikosXADataSourceWrapperTests has 0 reference.
Class ApplicationContextHeaderFilter has 0 reference.
Class LocationResolver has 0 reference.
Class ConfigFileApplicationListenerLegacyReproTests has 0 reference.
Class AggregateSupplier has 0 reference.
Class ResourceBean has 0 reference.
Class YamlPropertySourceLoaderTests has 0 reference.
Class IsoOffsetFormatterTests has 0 reference.
Class UrlPatternsFromValueFilter has 0 reference.
Class JettyConfig has 0 reference.
Class ExampleFormatter has 0 reference.
Class AnsiOutputApplicationListener has 0 reference.
Class TestShutdownHandlerLoggingSystem has 0 reference.
Class BeanSupplier has 0 reference.
Class TestConfiguration has 0 reference.
Class CloudPlatformTests has 0 reference.
Class AnnotatedGenericBeanConfiguration has 0 reference.
Class ExampleParser has 0 reference.
Class GenericFailureConfiguration has 0 reference.
Class ConfigDataLoadersTests has 0 reference.
Class ConfigurationPropertySourceTests has 0 reference.
Class LoggingApplicationListenerTests has 0 reference.
Class TestApp has 0 reference.
Class AliasedIterableConfigurationPropertySourceTests has 0 reference.
Class ServletComponentScanIntegrationTests has 0 reference.
Class DelimitedStringToArrayConverterTests has 0 reference.
Class TestBoundResolver has 0 reference.
Class SslConfigurationValidatorTests has 0 reference.
Class ConstructorParameterValidationConfiguration has 0 reference.
Class DefaultPropertiesPropertySourceTests has 0 reference.
Class BeanDefinitionOverrideFailureAnalyzerTests has 0 reference.
Class ConventionTypeEditor has 0 reference.
Class ConfigDataTests has 0 reference.
Class WithFactoryBeanConfiguration has 0 reference.
Class WebServerFactoryCustomizerBeanPostProcessorTests has 0 reference.
Class ConfigDataEnvironmentPostProcessorIntegrationTests has 0 reference.
Class InitParametersServlet has 0 reference.
Class ConstructorParameterConfiguration has 0 reference.
Class JavaLoggingSystemTests has 0 reference.
Class ConverterConfiguration has 0 reference.
Class LogFileTests has 0 reference.
Class ErrorPageRegistrarBeanPostProcessor has 0 reference.
Class ValidatorProperties has 0 reference.
Class BuildPropertiesTests has 0 reference.
Class ErrorAttributesOptionsTests has 0 reference.
Class GsonJsonParserTests has 0 reference.
Class MockInitB has 0 reference.
Class MockInitA has 0 reference.
Class AnotherNested has 0 reference.
Class InstantiatorTests has 0 reference.
Class CompressionTests has 0 reference.
Class SpringPhysicalNamingStrategyTests has 0 reference.
Class WithPropertySource has 0 reference.
Class ConcreteSerializer has 0 reference.
Class ScopedTargetFilterConfiguration has 0 reference.
Class AtomikosPropertiesTests has 0 reference.
Class SpringImplicitNamingStrategy has 0 reference.
Class InDefaultPackageWithBasePackageClassesConfiguration has 0 reference.
Class SystemEnvironmentOriginTests has 0 reference.
Class WithPropertySourceAndName has 0 reference.
Class ConversionServiceDeducerTests has 0 reference.
Class ContainerConfiguration has 0 reference.
Class AtomikosDataSourceBeanTests has 0 reference.
Class ConfigurationPropertyCachingTests has 0 reference.
Class ServletListenerRegistrationBeanTests has 0 reference.
Class FooProperties has 0 reference.
Class NotConstructorBoundInjectionFailureAnalyzerTests has 0 reference.
Class OrderedCharacterEncodingFilter has 0 reference.
Class FilteredMethodValidationPostProcessor has 0 reference.
Class TestConfigDataBootstrap has 0 reference.
Class WithPropertyPlaceholderValueConfiguration has 0 reference.
Class UserConfiguration has 0 reference.
Class MultiplePropertySourcesPlaceholderConfigurerConfiguration has 0 reference.
Class DataObjectPropertyNameTests has 0 reference.
Class JavaBeanNestedConstructorBindingPropertiesConfiguration has 0 reference.
Class NoUnboundElementsBindHandlerTests has 0 reference.
Class InRealButScanningProblemPackages has 0 reference.
Class GenericBean has 0 reference.
Class BeanTwoConfiguration has 0 reference.
Class FileEncodingApplicationListenerTests has 0 reference.
Class HttpWebServiceMessageSenderBuilderTests has 0 reference.
Class SpecificConfigDataLoader has 0 reference.
Class MappedExitCodeCommandLineRunConfig has 0 reference.
Class ServletNamesFilter has 0 reference.
Class SpringBootServletInitializerTests has 0 reference.
Class BeanThreeConfiguration has 0 reference.
Class FailingServlet has 0 reference.
Class ExecutableWar has 0 reference.
Class BeanNotOfRequiredTypeFailureAnalyzerTests has 0 reference.
Class AnnotatedComponent has 0 reference.
Class HttpWebServiceMessageSenderBuilderOkHttp3IntegrationTests has 0 reference.
Class NettyRSocketServerFactoryTests has 0 reference.
Class InactiveConfigDataAccessExceptionTests has 0 reference.
Class LocalServerPortTests has 0 reference.
Class Instantiator has 0 reference.
Class Count has 0 reference.
Class BrokenInitializationFailureAnalyzer has 0 reference.
Class ConfigTreeConfigDataLocationResolverTests has 0 reference.
Class BannerTests has 0 reference.
Class ServletRegistrationBean has 0 reference.
Class CustomNameFilter has 0 reference.
Class TestListener has 0 reference.
Class SpringBootJoranConfiguratorTests has 0 reference.
Class JsonObjectDeserializerTests has 0 reference.
Class ValueObjectConfiguration has 0 reference.
Class MultiConstructorConfigurationPropertiesConfiguration has 0 reference.
Class InDefaultPackageConfiguration has 0 reference.
Class NestedConstructorBeanWithEmptyDefaultValueForCollectionTypes has 0 reference.
Class MyResourceProperties has 0 reference.
Class InitializationTestConfig has 0 reference.
Class LocalRSocketServerPortTests has 0 reference.
Class ValidatingConstructorBean has 0 reference.
Class DelegatingLoggingSystemFactoryTests has 0 reference.
Class NestedFailureProperties has 0 reference.
Class ConfigurationPropertyNameTests has 0 reference.
Class NameAndCareerJsonComponent has 0 reference.
Class MyControllerProperties has 0 reference.
Class InfoPropertiesTests has 0 reference.
Class CollectionToDelimitedStringConverterTests has 0 reference.
Class TomcatTestConfiguration has 0 reference.
Class InvalidConfigurationPropertyValueFailureAnalyzerTests has 0 reference.
Class ServletWebServerMvcIntegrationTests has 0 reference.
Class LiquibaseConfiguration has 0 reference.
Class JettyHandlerWrappers has 0 reference.
Class NonQualifiedGenericConverterConfiguration has 0 reference.
Class AdditionalPackages has 0 reference.
Class BackCompatibilityBinderIntegrationTests has 0 reference.
Class UrlPatternsFilter has 0 reference.
Class NettyReactiveWebServerFactoryTests has 0 reference.
Class DefaultSpringBootConfiguration has 0 reference.
Class AnsiPropertySourceTests has 0 reference.
Class GenericReactiveWebApplicationContextTests has 0 reference.
Class LenientObjectToEnumConverterFactory has 0 reference.
Class ValidatedImplementationConfiguration has 0 reference.
Class UrlPatternsServlet has 0 reference.
Class ApplicationPidTests has 0 reference.
Class ExampleBean has 0 reference.
Class DataSourceBuilder has 0 reference.
Class InvalidConfigDataPropertyExceptionTests has 0 reference.
Class SpringApplicationTests has 0 reference.
Class BindValidationExceptionTests has 0 reference.
Class EnvironmentPostProcessorApplicationListenerTests has 0 reference.
Class ConfigDataNotFoundFailureAnalyzerTests has 0 reference.
Class MockDurationTypeDescriptor has 0 reference.
Class ObjectProviderMethodConsumer has 0 reference.
Class JarUriTests has 0 reference.
Class NonValidatedTestConfiguration has 0 reference.
Class DefaultsInJavaConfiguration has 0 reference.
Class SoftReferenceConfigurationPropertyCacheTests has 0 reference.
Class ConfigurationPropertiesBeanRegistrarTests has 0 reference.
Class StringToDataSizeConverterTests has 0 reference.
Class ServletConfiguration has 0 reference.
Class LoggerConfigurationComparatorTests has 0 reference.
Class ExampleFilteredComponent has 0 reference.
Class BindResult has 0 reference.
Class TestFormatter has 0 reference.
Class RSocketServerBootstrap has 0 reference.
Class ExampleConfig has 0 reference.
Class ConfigDataLocationResolversTests has 0 reference.
Class UnsupportedConfigDataLocationExceptionTests has 0 reference.
Class TestAnotherPackageConfiguration has 0 reference.
Class JettyTestConfiguration has 0 reference.
Class EntityManagerFactoryBuilder has 0 reference.
Class ReactiveWebServerApplicationContextTests has 0 reference.
Class ConfigurationPropertyStateTests has 0 reference.
Class ApplicationContextServerWebExchangeMatcherTests has 0 reference.
Class DefaultConfigurationServlet has 0 reference.
Class MustacheViewResolverTests has 0 reference.
Class IgnoreUnknownFieldsFalseIgnoreInvalidFieldsTrueConfiguration has 0 reference.
Class CompressionConnectorCustomizerTests has 0 reference.
Class OtherCombinedScanConfiguration has 0 reference.
Class TaskExecutorBuilderTests has 0 reference.
Class InDefaultPackageWithBasePackagesConfiguration has 0 reference.
Class NestedConstructorBeanWithEmptyDefaultValueForEnumTypes has 0 reference.
Class ConstructorBindingOnMultipleConstructors has 0 reference.
Class SystemProperties has 0 reference.
Class RootUriTemplateHandlerTests has 0 reference.
Class ErrorPageFilterIntegrationTests has 0 reference.
Class NotSuitableInit has 0 reference.
Class ExampleAbstractBean has 0 reference.
Class TestPropertySourceLoader2 has 0 reference.
Class BarProperties has 0 reference.
Class TestPropertySourceLoader1 has 0 reference.
Class ChildConfig has 0 reference.
Class EnumMapping has 0 reference.
Class NestedMultipleConstructorsConfiguration has 0 reference.
Class DelegatingApplicationContextInitializerTests has 0 reference.
Class BootstrappingConfigDataLoader has 0 reference.
Class OrderedRequestContextFilter has 0 reference.
Class TestClientHttpRequestFactory has 0 reference.
Class TomcatEmbeddedWebappClassLoaderTests has 0 reference.
Class NestedConstructorBeanWithEmptyDefaultValueForPrimitiveTypes has 0 reference.
Class ConfigDataLocationResolverTests has 0 reference.
Class SpringApplicationBuilderTests has 0 reference.
Class GenericFailureProperties has 0 reference.
Class TestApplicationContextServerWebExchangeMatcher has 0 reference.
Class OriginTrackedYamlLoaderTests has 0 reference.
Class NoBasePackages has 0 reference.
Class TestApplicationContextRequestMatcher has 0 reference.
Class SpringBootExceptionHandlerTests has 0 reference.
Class MyProperties has 0 reference.
Class GenericTypeFilter has 0 reference.
Class OriginTrackedMapPropertySourceTests has 0 reference.
Class DocumentRootTests has 0 reference.
Class FactoryBeanTester has 0 reference.
Class StartupInfoLoggerTests has 0 reference.
Class ConfigDataImporterTests has 0 reference.
Class ConfigTreeConfigDataLoaderTests has 0 reference.
Class DifferentPackageConfiguration has 0 reference.
Class WithoutAndAnnotationConfiguration has 0 reference.
Class ValidatedMethodConfiguration has 0 reference.
Class ConfigFileApplicationListenerTests has 0 reference.
Class StandardConfigDataLoaderTests has 0 reference.
Class ArrayToDelimitedStringConverterTests has 0 reference.
Class DefaultConfigurationFilter has 0 reference.
Class FileSessionPersistenceTests has 0 reference.
Class ValueObjectBinderTests has 0 reference.
Class DataSourceUnwrapperTests has 0 reference.
Class DelegatingApplicationListenerTests has 0 reference.
Class ExampleServletWithAutowired has 0 reference.
Class FailureAnalyzersTests has 0 reference.
Class ConstructorParameterWithFormatConfiguration has 0 reference.
Class MimeMappingsTests has 0 reference.
Class WithPropertyPlaceholderWithLocalPropertiesValueConfiguration has 0 reference.
Class BeanCurrentlyInCreationFailureAnalyzerTests has 0 reference.
Class UndertowConfig has 0 reference.
Class BFirstProperties has 0 reference.
Class NoUniqueBeanDefinitionFailureAnalyzerTests has 0 reference.
Class LastMapping has 0 reference.
Class WithPropertySourceAndProfile has 0 reference.
Class ConfigurationPropertySources has 0 reference.
Class LoggerGroupsTests has 0 reference.
Class IgnoreErrorsBindHandlerTests has 0 reference.
Class Multicaster has 0 reference.
Class DynamicRegistrationBean has 0 reference.
Class ValidatedValidNestedJsr303Properties has 0 reference.
Class IndexedElementsBinder has 0 reference.
Class AvailabilityChangeEventTests has 0 reference.
Class PropertySourcesDeducerTests has 0 reference.
Class FactoryMethodGroup has 0 reference.
Class ExampleConverter has 0 reference.
Class WithPropertySourceInProfile has 0 reference.
Class JarResourceManagerTests has 0 reference.
Class ValidatedNestedJsr303Properties has 0 reference.
Class ExitCodeGeneratorsTests has 0 reference.
Class CloudFoundryVcapEnvironmentPostProcessorTests has 0 reference.
Class XmlServletWebServerApplicationContextTests has 0 reference.
Class BindValidationFailureAnalyzerTests has 0 reference.
Class SpringApplicationAdminMXBeanRegistrarTests has 0 reference.
Class CycleWithAutowiredFields has 0 reference.
Class PrefixPropertiesDeclaredAsBeanConfiguration has 0 reference.
Class CommonsDbcp2DataSourcePoolMetadataTests has 0 reference.
Class LoggingApplicationListenerIntegrationTests has 0 reference.
Class ConfigurationPropertySourcesTests has 0 reference.
Class OnlyKeySerializer has 0 reference.
Class AbstractDataSourcePoolMetadataTests has 0 reference.
Class ResourceBannerTests has 0 reference.
Class ImageBannerTests has 0 reference.
Class LambdaSafeTests has 0 reference.
Class Bindable has 0 reference.
Class DeferredLogsTests has 0 reference.
Class PropertiesWithResource has 0 reference.
Class NestedConstructorBeanWithEmptyDefaultValueForArrayTypes has 0 reference.
Class ConfigurationPropertiesBindExceptionTests has 0 reference.
Class JakartaApiValidationExceptionFailureAnalyzerTests has 0 reference.
Class NumberToDataSizeConverterTests has 0 reference.
Class JavaBeanBoundPropertiesConfiguration has 0 reference.
Class RandomValuePropertySourceTests has 0 reference.
Class ParentContextCloserApplicationListener has 0 reference.
Class ClasspathLoggingApplicationListener has 0 reference.
Class AScanConfiguration has 0 reference.
Class DataSourceBuilderTests has 0 reference.
Class FilterRegistrationBeanTests has 0 reference.
Class NumberToDurationConverterTests has 0 reference.
Class ConfigTreePropertySourceTests has 0 reference.
Class BufferingApplicationStartupTests has 0 reference.
Class SystemEnvironmentPropertySourceEnvironmentPostProcessorTests has 0 reference.
Class ExampleCamelCase has 0 reference.
Class NullPointerExceptionSafeSupplier has 0 reference.
Class NonValidatedJsr303Configuration has 0 reference.
Class WebServerConfiguration has 0 reference.
Class ConfigurationsTests has 0 reference.
Class ServletListenerRegistrationBean has 0 reference.
Class ConversionServiceArguments has 0 reference.
Class AnnotationOnBaseClassConfiguration has 0 reference.
Class RestTemplateBuilderClientHttpRequestInitializerTests has 0 reference.
Class BadBeanConfiguration has 0 reference.
Class ValidatedMethodAndBeanConfiguration has 0 reference.
Class FirstConfiguration has 0 reference.
Class OracleDataSourceSettings has 0 reference.
Class TomcatReactiveWebServerFactoryTests has 0 reference.
Class InputStreamSourceToByteArrayConverterTests has 0 reference.
Class ContextIdApplicationContextInitializerTests has 0 reference.
Class ConfigurationPropertyTests has 0 reference.
Class TldPatterns has 0 reference.
Class PortInUseFailureAnalyzer has 0 reference.
Class Plain has 0 reference.
Class DefaultsInXmlConfiguration has 0 reference.
Class ConfigFileApplicationListenerYamlProfileNegationTests has 0 reference.
Class LoggingConfigDataLoader has 0 reference.
Class SpringBootConfigurationTests has 0 reference.
Class LenientStringToEnumConverterFactoryTests has 0 reference.
Class TestJsonObjectDeserializer has 0 reference.
Class JavaxApiValidationExceptionFailureAnalyzerTests has 0 reference.
Class SpringJtaPlatform has 0 reference.
Class ColorConverterTests has 0 reference.
Class StandardAwareFailureAnalyzer has 0 reference.
Class ErrorPageFilterTests has 0 reference.
Class InOrgSpringPackageConfiguration has 0 reference.
Class UndertowReactiveWebServerFactoryTests has 0 reference.
Class DurationStyleTests has 0 reference.
Class OtherCombinedConfiguration has 0 reference.
Class RefreshFailure has 0 reference.
Class AsyncSupportedFilter has 0 reference.
Class EnvironmentConverterTests has 0 reference.
Class ConfigurationPropertiesBindingPostProcessor has 0 reference.
Class WithoutAnnotationValueConfiguration has 0 reference.
Class JsonParserFactory has 0 reference.
Class WithCustomValidatorProperties has 0 reference.
Class ConfigurationPropertiesBindHandlerAdvisorTests has 0 reference.
Class BingProperties has 0 reference.
Class ApplicationTempTests has 0 reference.
Class ExitCodeCommandLineRunConfig has 0 reference.
Class ReflectionEnvironmentPostProcessorsFactoryTests has 0 reference.
Class AdvancedConfig has 0 reference.
Class OriginTrackedValueTests has 0 reference.
Class WebFilterHandlerTests has 0 reference.
Class JettyReactiveWebServerFactoryTests has 0 reference.
Class DuplicateConfiguration has 0 reference.
Class CachingSupplier has 0 reference.
Class InnerInnerConfiguration has 0 reference.
Class AtomikosConnectionFactoryBeanTests has 0 reference.
Class DefaultApplicationArgumentsTests has 0 reference.
Class ExampleReactiveWebConfig has 0 reference.
Class OrderedFormContentFilter has 0 reference.
Class InDefaultPackageWithMetaAnnotationConfiguration has 0 reference.
Class LoggingSystemTests has 0 reference.
Class ServletComponentScanRegistrar has 0 reference.
Class KotlinValueObject has 0 reference.
Class TomcatDataSourcePoolMetadataTests has 0 reference.
Class ConfigurationPropertiesBeanTests has 0 reference.
Class CharSequenceToObjectConverterTests has 0 reference.
Class BindResultTests has 0 reference.
Class BindFailureAnalyzerTests has 0 reference.
Class PackagePrivateBeanBindingTests has 0 reference.
Class HighestTestResolver has 0 reference.
Class BrokenPostConstructConfig has 0 reference.
Class FooTestBean has 0 reference.
Class ApplicationConversionServiceTests has 0 reference.
Class HttpHandlerConfiguration has 0 reference.
Class EnumFailureConfiguration has 0 reference.
Class BrokenAnalysisFailureAnalyzer has 0 reference.
Class NestedFailureConfiguration has 0 reference.
Class SpringApplicationJsonEnvironmentPostProcessorTests has 0 reference.
Class UrlPatternsFromValueServlet has 0 reference.
Class JettyServletWebServerFactoryTests has 0 reference.
Class JsonObjectSerializer has 0 reference.
Class NameAndAgeJsonComponent has 0 reference.
Class NestedConstructorPropertiesConfiguration has 0 reference.
Class MockDataSizeTypeDescriptor has 0 reference.
Class OtherInjectedProperties has 0 reference.
Class GitPropertiesTests has 0 reference.
Class LenientBooleanToEnumConverterFactoryTests has 0 reference.
Class AggregateBinder has 0 reference.
Class ConfigTreeConfigDataResourceTests has 0 reference.
Class YamlJsonParserTests has 0 reference.
Class WithConfigurationPropertiesBindHandlerAdvisor has 0 reference.
Class UseLegacyProcessing has 0 reference.
Class StringToFileConverterTests has 0 reference.
Class ConstructorConsumer has 0 reference.
Class MainConfiguration has 0 reference.
Class DuplicateBeansProducer has 0 reference.
Class CommandLineRunConfig has 0 reference.
Class ValueObjectConfigurationProperties has 0 reference.
Class PrototypePropertiesConfiguration has 0 reference.
Class Callback has 0 reference.
Class IncompatibleConfigurationFailureAnalyzerTests has 0 reference.
Class HttpSessionIdListenerConfiguration has 0 reference.
Class MapBinderTests has 0 reference.
Class JavaBeanNonDefaultConstructorPropertiesConfiguration has 0 reference.
Class InvocationResult has 0 reference.
Class ConfigDataEnvironmentPostProcessorBootstrapContextIntegrationTests has 0 reference.
Class DataSourceUnwrapperNoSpringJdbcTests has 0 reference.
Class AtomikosDependsOnBeanFactoryPostProcessorTests has 0 reference.
Class PrefixedPropertiesReplacedOnBeanMethodConfiguration has 0 reference.
Class AbstractFilterRegistrationBean has 0 reference.
Class NonConvertible has 0 reference.
Class InRealPackageConfiguration has 0 reference.
Class OtherConfigDataLoader has 0 reference.
Class DeferredLogTests has 0 reference.
Class DeducedNestedConstructorPropertiesConfiguration has 0 reference.
Class ConfigDataLocationTests has 0 reference.
Class BeanDefinitionLoaderTests has 0 reference.
Class ClearCachesApplicationListener has 0 reference.
Class IgnoreUnknownFieldsFalseConfiguration has 0 reference.
Class UnboundElementsFailureConfiguration has 0 reference.
Class CombinedConfiguration has 0 reference.
Class AbstractFailureAnalyzer has 0 reference.
Class ConnectorStartFailureAnalyzer has 0 reference.
Class NestedConstructorBeanWithEmptyDefaultValueForMapTypes has 0 reference.
Class TypeExcludeFilterTests has 0 reference.
Class ValidatedJsr303Configuration has 0 reference.
Class MultiConstructorBeanConfigurationProperties has 0 reference.
Class OnlyKeyDeserializer has 0 reference.
Class PrefixPropertiesDeclaredAsAnnotationValueConfiguration has 0 reference.
Class TestLogFactoryEnvironmentPostProcessor has 0 reference.
Class WebListenerHandlerTests has 0 reference.
Class MethodValidationExcludeFilterTests has 0 reference.
Class NonAnnotatedGenericBeanConfiguration has 0 reference.
Class ListenerConfig has 0 reference.
Class PropertiesPropertySourceLoaderTests has 0 reference.
Class LambdaSafeCallback has 0 reference.
Class ApplicationAvailabilityBeanTests has 0 reference.
Class UrlPatternsDeclaredTwiceServlet has 0 reference.
Class FailureAnalyzersIntegrationTests has 0 reference.
Class AnsiOutputEnabledValue has 0 reference.
Class AnsiOutputTests has 0 reference.
Class UndertowTestConfiguration has 0 reference.
Class BoundPropertiesTrackingBindHandlerTests has 0 reference.
Class ServletContextAwareConfiguration has 0 reference.
Class RestTemplateBuilderTests has 0 reference.
Class InetAddressFormatterTests has 0 reference.
Class IgnoreTopLevelConverterNotFoundBindHandlerTests has 0 reference.
Class UseLegacyConfigProcessingExceptionTests has 0 reference.
